Report Date,Stock price,Y_boolean,(Dividends + Share Buyback) / FCF,Asset Turnover,CapEx / (Depr + Amor),Current Ratio,Debt Ratio,Dividends / FCF,Dummy_Dividends,Gross Profit Margin,Interest Coverage,Inventory Turnover,Log Revenue,Net Profit Margin,Quick Ratio,R&D / Gross Profit,R&D / Revenue,Return on Assets,Return on Equity,Return on Research Capital,Share Buyback / FCF,tweet_polarity,tweet_subjectivity,RSI_ratio,MACD,p_diff
2020/3/2,137.0998383,1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.031290685,0.262565837,0.410169038,-1.183334986,3.486507103
2020/3/3,135.4515839,-1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.057314815,0.292760141,0.410169038,-1.476391819,0.831689383
2020/3/4,141.7484283,1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.031429302,0.376229719,0.410169038,-2.914989817,-0.451637389
2020/3/5,137.741333,-1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,-0.037988893,0.283283644,0.410169038,-2.786881249,-2.208709432
2020/3/6,135.2640533,-1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,-0.019595535,0.299780473,0.410169038,-2.073115676,-0.484177255
2020/3/7,132.8525543,-1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.019185377,0.29377765,0.410169038,-1.396506748,-1.979068771
2020/3/8,130.4410553,-1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,-0.039738891,0.294670499,0.410169038,-0.71989782,-3.071311515
2020/3/9,128.0295563,-1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.075551994,0.360078348,0.410169038,-0.043288891,-2.901210418
2020/3/10,130.9904938,1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,-0.017985284,0.315482804,0.410169038,0.517580437,-1.238051749
2020/3/11,128.572403,-1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.050140928,0.391964469,0.410169038,1.333604392,-3.787886298
2020/3/12,118.7125854,-1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.052007339,0.340444161,0.410169038,3.83530266,0.0372233
2020/3/13,123.8448257,1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.061266208,0.349215024,0.410169038,4.051488085,0.178030062
2020/3/14,117.7782618,-1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.069097022,0.357402264,0.410169038,-1.396506748,0.1278162
2020/3/15,111.7116979,-1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.060179955,0.361805708,0.410169038,-0.71989782,-0.129051399
2020/3/16,105.645134,-1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.077832876,0.360338078,0.410169038,7.850451421,0.293335556
2020/3/17,109.6028671,1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.071491837,0.352449234,0.410169038,8.903994113,-0.081469925
2020/3/18,104.4410172,-1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.061226269,0.360243773,0.410169038,10.23714496,-0.143590764
2020/3/19,100.9965057,-1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.053563565,0.357380531,0.410169038,11.31535147,-0.125153865
2020/3/20,99.62461853,-1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.060126626,0.35336489,0.410169038,11.7624155,0.122528454
2020/3/21,96.9005839,-1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.068818667,0.359419593,0.410169038,5.317809197,0.144562254
2020/3/22,94.17654928,-1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.063644414,0.348905326,0.410169038,6.584130309,-0.075186756
2020/3/23,91.45251465,-1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.057979408,0.360327112,0.803414115,13.25810195,-0.089010272
2020/3/24,102.4078674,1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.064280993,0.363788194,1.177244589,11.26566511,0.108686617
2020/3/25,106.799881,1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.071604436,0.36623915,1.774127794,8.706924879,0.113928579
2020/3/26,116.3734741,1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.077538894,0.362116464,1.864067281,4.830703588,0.082878364
2020/3/27,110.3134842,-1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.072630229,0.363317165,1.702546864,3.647463314,-0.06330584
2020/3/28,111.9288254,1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.070766371,0.366659219,0.410169038,12.26097765,-0.025662292
2020/3/29,113.5441666,1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.057027319,0.366409947,0.410169038,12.7595398,-0.194146625
2020/3/30,115.1595078,1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.055154413,0.365042367,1.917415333,1.782344753,-0.032842264
2020/3/31,116.1563416,1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.069548238,0.359325604,1.816494572,0.409677449,0.260973227
2020/4/1,110.4615326,-1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.059178349,0.368652847,1.392598516,0.793969185,-0.149103541
2020/4/2,114.5179749,1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.063876006,0.361131437,0.957982354,0.128807188,0.079381337
2020/4/3,113.1164856,-1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.070679042,0.356963531,1.326069109,0.031262009,0.106503789
2020/4/4,117.1235758,1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.073563678,0.370808634,0.54125073,3.025757127,0.040813171
2020/4/5,121.1306661,1,0.611510791,0.144997835,1.513761468,2.629014396,0.55842356,0.189448441,1,0.68339307,8.928571429,1.187234043,9.223755454,0.229390681,1.672203765,0.115384615,0.078853047,0.033261152,0.141802068,8.666666667,0.42206235,0.068425165,0.356915223,0.672332423,2.40405094,-0.069851231
