,Report Date,Stock price,Y_boolean,Debt Ratio,Dividends / FCF,Gross Profit Margin,Interest Coverage,Net Profit Margin,Quick Ratio,R&D / Gross Profit,R&D / Revenue,Return on Assets,Share Buyback / FCF,s_diff,tweet_polarity,tweet_subjectivity
0,2021-01-01,163.5686646,0,1.0,0.23234238821461306,0.6554870193856281,0.42375376617172295,0.6945657803020948,0.0,0.1443087240254206,0.09235245391368263,0.6025872829441214,0.0,0.5589381631746805,0.605115683554472,0.6402190003206387
1,2021-01-02,163.0953675,0,1.0,0.23234238821461306,0.6554870193856281,0.42375376617172295,0.6945657803020948,0.0,0.1443087240254206,0.09235245391368263,0.6025872829441214,0.0,0.3632480120961221,0.4579767788046654,0.5864864402817518
2,2021-01-03,162.62207030000002,0,1.0,0.23234238821461306,0.6554870193856281,0.42375376617172295,0.6945657803020948,0.0,0.1443087240254206,0.09235245391368263,0.6025872829441214,0.0,0.3901626569238665,0.5458062913355346,0.5655396833186992
3,2021-01-04,162.1487732,0,1.0,0.23234238821461306,0.6554870193856281,0.42375376617172295,0.6945657803020948,0.0,0.1443087240254206,0.09235245391368263,0.6025872829441214,0.0,0.2735666674131326,0.6904806677528371,0.4073714010298373
4,2021-01-05,163.278717,1,1.0,0.23234238821461306,0.6554870193856281,0.42375376617172295,0.6945657803020948,0.0,0.1443087240254206,0.09235245391368263,0.6025872829441214,0.0,0.4224664367744746,0.5974901027620019,0.4237710958349785
5,2021-01-06,165.6773987,1,1.0,0.23234238821461306,0.6554870193856281,0.42375376617172295,0.6945657803020948,0.0,0.1443087240254206,0.09235245391368263,0.6025872829441214,0.0,0.31949759909929204,0.6060066275379392,0.3242774903599335
6,2021-01-07,165.528717,0,1.0,0.23234238821461306,0.6554870193856281,0.42375376617172295,0.6945657803020948,0.0,0.1443087240254206,0.09235245391368263,0.6025872829441214,0.0,0.5148175909177336,0.6295321921489752,0.4409052282208106
7,2021-01-08,166.6289368,1,1.0,0.23234238821461306,0.6554870193856281,0.42375376617172295,0.6945657803020948,0.0,0.1443087240254206,0.09235245391368263,0.6025872829441214,0.0,0.21621882061282224,0.5830713701716952,0.22388474349948465
8,2021-01-09,167.0518494,0,1.0,0.23234238821461306,0.6554870193856281,0.42375376617172295,0.6945657803020948,0.0,0.1443087240254206,0.09235245391368263,0.6025872829441214,0.0,0.5402945635225864,0.6452968547280156,0.36343634673774
9,2021-01-10,167.474762,0,1.0,0.23234238821461306,0.6554870193856281,0.42375376617172295,0.6945657803020948,0.0,0.1443087240254206,0.09235245391368263,0.6025872829441214,0.0,0.5732760193935161,0.5980320514176869,0.5461513247984184
10,2021-01-11,167.89767460000002,0,1.0,0.23234238821461306,0.6554870193856281,0.42375376617172295,0.6945657803020948,0.0,0.1443087240254206,0.09235245391368263,0.6025872829441214,0.0,0.16982878977930554,0.6178494889148042,0.26745650456653713
11,2021-01-12,164.65647890000002,-1,1.0,0.23234238821461306,0.6554870193856281,0.42375376617172295,0.6945657803020948,0.0,0.1443087240254206,0.09235245391368263,0.6025872829441214,0.0,0.5622809343501753,0.5315808408774386,0.43262414625752266
12,2021-01-13,160.52323909999998,-1,1.0,0.23234238821461306,0.6554870193856281,0.42375376617172295,0.6945657803020948,0.0,0.1443087240254206,0.09235245391368263,0.6025872829441214,0.0,0.37852639716101855,0.5897369032753628,0.39952411952289335
13,2021-01-14,159.54194640000003,-1,1.0,0.23234238821461306,0.6554870193856281,0.42375376617172295,0.6945657803020948,0.0,0.1443087240254206,0.09235245391368263,0.6025872829441214,0.0,0.42752442603967694,0.7755768239848129,0.4215343818002775
14,2021-01-15,160.13665769999997,1,1.0,0.23234238821461306,0.6554870193856281,0.42375376617172295,0.6945657803020948,0.0,0.1443087240254206,0.09235245391368263,0.6025872829441214,0.0,0.2970696676971028,0.6854099938547082,0.2968689895091905
15,2021-01-16,160.4493675,0,1.0,0.23234238821461306,0.6554870193856281,0.42375376617172295,0.6945657803020948,0.0,0.1443087240254206,0.09235245391368263,0.6025872829441214,0.0,0.5070742414994031,0.7351272023609365,0.4040640187986657
16,2021-01-17,160.76207730000002,0,1.0,0.23234238821461306,0.6554870193856281,0.42375376617172295,0.6945657803020948,0.0,0.1443087240254206,0.09235245391368263,0.6025872829441214,0.0,0.5560710181846704,0.8383446468908127,0.5699740766543608
17,2021-01-18,161.0747871,0,1.0,0.23234238821461306,0.6554870193856281,0.42375376617172295,0.6945657803020948,0.0,0.1443087240254206,0.09235245391368263,0.6025872829441214,0.0,0.2852962406095021,0.6572185986938857,0.4254257725903368
18,2021-01-19,161.3874969,0,1.0,0.23234238821461306,0.6554870193856281,0.42375376617172295,0.6945657803020948,0.0,0.1443087240254206,0.09235245391368263,0.6025872829441214,0.0,0.4093922245651188,0.8247010278331324,0.4271875527019886
19,2021-01-20,162.1717377,1,1.0,0.23234238821461306,0.6554870193856281,0.42375376617172295,0.6945657803020948,0.0,0.1443087240254206,0.09235245391368263,0.6025872829441214,0.0,0.36274251142864206,0.8594697330306911,0.3763474800283895
20,2021-01-21,163.26374819999998,1,1.0,0.23234238821461306,0.6554870193856281,0.42375376617172295,0.6945657803020948,0.0,0.1443087240254206,0.09235245391368263,0.6025872829441214,0.0,0.382560550575075,0.6264830862911893,0.34832286085410624
21,2021-01-22,162.1419525,-1,1.0,0.23234238821461306,0.6554870193856281,0.42375376617172295,0.6945657803020948,0.0,0.1443087240254206,0.09235245391368263,0.6025872829441214,0.0,0.4519079590759304,0.6771813737839758,0.3967595783963263
