,Report Date,Stock price,Y_boolean,(Dividends + Share Buyback) / FCF,Asset Turnover,Current Ratio,Debt Ratio,Gross Profit Margin,Inventory Turnover,MACD,Net Profit Margin,Quick Ratio,R&D / Gross Profit,R&D / Revenue,RSI_ratio,Return on Assets,Return on Equity,Share Buyback / FCF
0,2021-01-01,581.0200043,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.5741862764691895,1.0,0.0,0.4617113995940065,0.4737885350462223,0.4579265226321802,1.0000000000000002,1.0,0.0
1,2021-01-02,579.1000061000001,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.5784545333347595,1.0,0.0,0.4617113995940065,0.4737885350462223,0.4238972528043058,1.0000000000000002,1.0,0.0
2,2021-01-03,577.180008,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.5827227902003294,1.0,0.0,0.4617113995940065,0.4737885350462223,0.38986798256697147,1.0000000000000002,1.0,0.0
3,2021-01-04,575.2600097999999,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.5869910470658993,1.0,0.0,0.4617113995940065,0.4737885350462223,0.3558387127390971,1.0000000000000002,1.0,0.0
4,2021-01-05,584.1300049,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.5632720793023757,1.0,0.0,0.4617113995940065,0.4737885350462223,0.5184266737266089,1.0000000000000002,1.0,0.0
5,2021-01-06,612.2000122000001,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.4416469050048078,1.0,0.0,0.4617113995940065,0.4737885350462223,0.5663376304171385,1.0000000000000002,1.0,0.0
6,2021-01-07,629.1199951,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.311589836525596,1.0,0.0,0.4617113995940065,0.4737885350462223,0.5700865058219141,1.0000000000000002,1.0,0.0
7,2021-01-08,621.3699951,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.27852768537727723,1.0,0.0,0.4617113995940065,0.4737885350462223,0.4864921505357353,1.0000000000000002,1.0,0.0
8,2021-01-09,619.5099894,0,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.2839970548656528,1.0,0.0,0.4617113995940065,0.4737885350462223,0.5035510394780696,1.0000000000000002,1.0,0.0
9,2021-01-10,617.6499837,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.28946642454177623,1.0,0.0,0.4617113995940065,0.4737885350462223,0.520609928420404,1.0000000000000002,1.0,0.0
10,2021-01-11,615.789978,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.2949357940301518,1.0,0.0,0.4617113995940065,0.4737885350462223,0.5376688177721983,1.0000000000000002,1.0,0.0
11,2021-01-12,610.039978,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.3401827565175524,1.0,0.0,0.4617113995940065,0.4737885350462223,0.5567551688354261,1.0000000000000002,1.0,0.0
12,2021-01-13,604.3200072999999,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.400249636567062,1.0,0.0,0.4617113995940065,0.4737885350462223,0.29802290735653386,1.0000000000000002,1.0,0.0
13,2021-01-14,593.1400146000001,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.4878150797296466,1.0,0.0,0.4617113995940065,0.4737885350462223,0.0,1.0000000000000002,1.0,0.0
14,2021-01-15,601.1500244,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.5127127771428512,1.0,0.0,0.4617113995940065,0.4737885350462223,0.14811703414642044,1.0000000000000002,1.0,0.0
15,2021-01-16,603.105011,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.5097246583883455,1.0,0.0,0.4617113995940065,0.4737885350462223,0.17762682974463048,1.0000000000000002,1.0,0.0
16,2021-01-17,605.0599975,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.5067365396338396,1.0,0.0,0.4617113995940065,0.4737885350462223,0.20713662575230052,1.0000000000000002,1.0,0.0
17,2021-01-18,607.0149841,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.5037484208793338,1.0,0.0,0.4617113995940065,0.4737885350462223,0.23664642135051064,1.0000000000000002,1.0,0.0
18,2021-01-19,608.9699707000001,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.5007603021436027,1.0,0.0,0.4617113995940065,0.4737885350462223,0.2661562169487207,1.0000000000000002,1.0,0.0
