,Report Date,Stock price,Y_boolean,Debt Ratio,Inventory Turnover,MACD,Net Profit Margin,Quick Ratio,R&D / Gross Profit,Return on Assets
115,2021-06-24,631.9000244,1,0.008526210416615087,1.0,0.3566687894408557,0.0,0.5843063809238679,0.0,0.03090690190820922
116,2021-06-25,633.5599976,0,0.008526210416615087,1.0,0.3537192838474331,0.0,0.5843063809238679,0.0,0.03090690190820922
117,2021-06-26,636.9400025,1,0.008526210416615087,1.0,0.3437752072990283,0.0,0.5843063809238679,0.0,0.03090690190820922
118,2021-06-27,640.3200072999999,1,0.008526210416615087,1.0,0.33383113075062343,0.0,0.5843063809238679,0.0,0.03090690190820922
119,2021-06-28,643.7000122000001,1,0.008526210416615087,1.0,0.3238870542022186,0.0,0.5843063809238679,0.0,0.03090690190820922
120,2021-06-29,645.5599976,0,0.008526210416615087,1.0,0.31014368010640986,0.0,0.5843063809238679,0.0,0.03090690190820922
121,2021-06-30,644.289978,0,0.005276912752389945,0.7355533892047763,0.3178980504010684,0.06732015437579225,0.6804414949093478,1.0000000000000004,0.07099425710831064
122,2021-07-01,657.710022,1,0.005276912752389945,0.7355533892047763,0.2837092405655654,0.06732015437579225,0.6804414949093478,1.0000000000000004,0.07099425710831064
123,2021-07-02,666.7199707000001,1,0.005276912752389945,0.7355533892047763,0.24273758050530495,0.06732015437579225,0.6804414949093478,1.0000000000000004,0.07099425710831064
124,2021-07-03,666.8899841,0,0.005276912752389945,0.7355533892047763,0.2396101089111264,0.06732015437579225,0.6804414949093478,1.0000000000000004,0.07099425710831064
125,2021-07-04,667.0599975,0,0.005276912752389945,0.7355533892047763,0.23648263749391785,0.06732015437579225,0.6804414949093478,1.0000000000000004,0.07099425710831064
126,2021-07-05,667.230011,0,0.005276912752389945,0.7355533892047763,0.2333551658997393,0.06732015437579225,0.6804414949093478,1.0000000000000004,0.07099425710831064
127,2021-07-06,667.4000244,0,0.005276912752389945,0.7355533892047763,0.2302276944825307,0.06732015437579225,0.6804414949093478,1.0000000000000004,0.07099425710831064
128,2021-07-07,673.4000244,1,0.005276912752389945,0.7355533892047763,0.21522777666032614,0.06732015437579225,0.6804414949093478,1.0000000000000004,0.07099425710831064
129,2021-07-08,672.7000122000001,0,0.005276912752389945,0.7355533892047763,0.22410244624616188,0.06732015437579225,0.6804414949093478,1.0000000000000004,0.07099425710831064
130,2021-07-09,675.1699829,1,0.005276912752389945,0.7355533892047763,0.23484684897521896,0.06732015437579225,0.6804414949093478,1.0000000000000004,0.07099425710831064
131,2021-07-10,674.7733154,0,0.005276912752389945,0.7355533892047763,0.2431406028116545,0.06732015437579225,0.6804414949093478,1.0000000000000004,0.07099425710831064
