,Report Date,Stock price,Y_boolean,Dummy_Dividends,Interest Coverage,R&D / Gross Profit,R&D / Revenue,RSI_ratio,Return on Assets,s_diff,tweet_subjectivity
0,2020-09-01,160.421524,1,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.4651572207136853,0.7294280537864826,0.2964768575035086,0.37339169109880604
1,2020-09-02,163.66859440000002,1,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.4602537706977902,0.7294280537864826,0.5243242887483197,0.5079202046207829
2,2020-09-03,157.2042236,-1,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.2957631003611678,0.7294280537864826,0.3631783648071935,0.4541678765953878
3,2020-09-04,155.6598969,-1,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.2488160322505321,0.7294280537864826,0.4348998942947936,0.4862265736377869
4,2020-09-05,154.73676310000002,-1,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.24329726493831805,0.7294280537864826,0.3294380180696235,0.3924761325427513
5,2020-09-06,153.81362919999998,-1,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.23777849794187494,0.7294280537864826,0.3954063002277257,0.3780440702188912
6,2020-09-07,152.89049540000002,-1,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.22674096363321786,0.7294280537864826,0.4519257989786506,0.4290418017954663
7,2020-09-08,151.9673615,-1,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.22674096363321786,0.7294280537864826,0.283842801510208,0.2833473849080872
8,2020-09-09,157.3131104,1,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.2793349985931835,0.7294280537864826,0.5329823680378264,0.4237656082124177
9,2020-09-10,156.5112457,-1,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.19236244597233046,0.7294280537864826,0.3437647466165813,0.3486078862590465
10,2020-09-11,156.9963074,1,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.3097092849964381,0.7294280537864826,0.512503521734669,0.4685399961651062
11,2020-09-12,157.7453766,1,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.4391830630959756,0.7294280537864826,0.3488698572567577,0.3984089525628995
12,2020-09-13,158.49444580000002,1,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.488691860081528,0.7294280537864826,0.4336228304372419,0.4284309327160257
13,2020-09-14,159.243515,1,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.3758493280514552,0.7294280537864826,0.4154127538484921,0.4373408831419789
14,2020-09-15,160.64923100000001,1,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.4944838750591964,0.7294280537864826,0.4091905688698631,0.4389450377798969
15,2020-09-16,159.6295929,-1,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.40298983781974335,0.7294280537864826,0.3390021199147595,0.3578190806844685
16,2020-09-17,158.8574219,-1,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.4304829800733479,0.7294280537864826,0.4218554142223712,0.3739371824736848
17,2020-09-18,159.25340269999998,0,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.4202301596566909,0.7294280537864826,0.3915729378220816,0.35516156581765834
18,2020-09-19,159.2864075,0,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.2414576758342467,0.7294280537864826,0.4718620572126818,0.4286812482399625
19,2020-09-20,159.3194122,0,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.2340993197337323,0.7294280537864826,0.4496883739798418,0.4778641988638155
20,2020-09-21,159.352417,0,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.3148519248849037,0.7294280537864826,0.30011022199132625,0.3493680317922441
21,2020-09-22,159.8869629,1,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.22020613914906956,0.7294280537864826,0.5078821526414645,0.4640328832441001
22,2020-09-23,157.7288818,-1,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.1802661379433044,0.7294280537864826,0.4638404801027882,0.5305658313690196
23,2020-09-24,156.3924561,-1,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.19345370968275669,0.7294280537864826,0.24014788209172905,0.3273195724199627
24,2020-09-25,159.2236938,1,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.2906318702248744,0.7294280537864826,0.6023454445184215,0.5486793866375272
25,2020-09-26,159.38209530000003,0,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.3317559661200341,0.7294280537864826,0.2671683872232847,0.3772557825475986
26,2020-09-27,159.5404968,0,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.3538026472436301,0.7294280537864826,0.4050092692564684,0.3739956653544132
27,2020-09-28,159.6988983,0,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.2823624065893761,0.7294280537864826,0.3589383537627777,0.3175261875127018
28,2020-09-29,160.8472137,1,0.0,0.30107885212100793,0.4888015516173185,0.6465176186965751,0.2489343563665805,0.7294280537864826,0.43816035173719375,0.3519350433018245
29,2020-09-30,163.7081604,1,0.0,0.1567118014492963,0.5672940759564717,0.8258253929929156,0.3972122728370697,0.1744974977348741,0.2443512588291178,0.1644303091566015
30,2020-10-01,162.3816528,-1,0.0,0.1567118014492963,0.5672940759564717,0.8258253929929156,0.4089024498328452,0.1744974977348741,0.6810223158485992,0.4591003667281166
31,2020-10-02,161.9064636,0,0.0,0.1567118014492963,0.5672940759564717,0.8258253929929156,0.3583450333737509,0.1744974977348741,0.287751525514558,0.31668312820514233
