,Report Date,Stock price,Y_boolean,Asset Turnover,Current Ratio,Gross Profit Margin,Interest Coverage,Log Revenue,R&D / Revenue,RSI_ratio,Return on Assets,Return on Research Capital,Share Buyback / FCF
0,2020-09-01,509.66000369999995,0,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.32155091805024705,0.31994182390623105,0.6448982183380845,1.0
1,2020-09-02,524.2999878,1,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.4076094180063909,0.31994182390623105,0.6448982183380845,1.0
2,2020-09-03,494.23999019999997,-1,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.4541638783156555,0.31994182390623105,0.6448982183380845,1.0
3,2020-09-04,484.23001100000005,-1,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.3946057931576515,0.31994182390623105,0.6448982183380845,1.0
4,2020-09-05,482.8775101,0,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.3699686068894016,0.31994182390623105,0.6448982183380845,1.0
5,2020-09-06,481.5250091,0,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.3453314202116918,0.31994182390623105,0.6448982183380845,1.0
6,2020-09-07,480.1725081999999,0,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.32069423394344193,0.31994182390623105,0.6448982183380845,1.0
7,2020-09-08,478.8200073,0,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.2960570472657321,0.31994182390623105,0.6448982183380845,1.0
8,2020-09-09,501.48999019999997,1,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.4347417946120076,0.31994182390623105,0.6448982183380845,1.0
9,2020-09-10,503.45001219999995,1,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.3323369979766722,0.31994182390623105,0.6448982183380845,1.0
10,2020-09-11,505.01998899999995,1,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.5626390862462252,0.31994182390623105,0.6448982183380845,1.0
11,2020-09-12,506.2933248,0,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.6241774297468149,0.31994182390623105,0.6448982183380845,1.0
12,2020-09-13,507.56666050000007,0,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.6857157728379446,0.31994182390623105,0.6448982183380845,1.0
13,2020-09-14,508.83999630000005,0,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.7472541163385344,0.31994182390623105,0.6448982183380845,1.0
14,2020-09-15,512.8200072999999,1,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.8082283516971684,0.31994182390623105,0.6448982183380845,1.0
15,2020-09-16,513.1599731000001,0,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.8112167742866379,0.31994182390623105,0.6448982183380845,1.0
16,2020-09-17,511.5,-1,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.7090849056775824,0.31994182390623105,0.6448982183380845,1.0
17,2020-09-18,513.4799805,1,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.6130182117796958,0.31994182390623105,0.6448982183380845,1.0
18,2020-09-19,514.9566447,0,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.6110353603268681,0.31994182390623105,0.6448982183380845,1.0
19,2020-09-20,516.4333088999999,0,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.6090525088740404,0.31994182390623105,0.6448982183380845,1.0
20,2020-09-21,517.9099731000001,0,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.6070696578306728,0.31994182390623105,0.6448982183380845,1.0
21,2020-09-22,515.6799927000001,-1,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.4869024912939978,0.31994182390623105,0.6448982183380845,1.0
22,2020-09-23,511.76998899999995,-1,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.3623715550666581,0.31994182390623105,0.6448982183380845,1.0
23,2020-09-24,494.17001339999996,-1,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.2384705431737865,0.31994182390623105,0.6448982183380845,1.0
24,2020-09-25,504.1499938999999,1,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.2791092824943723,0.31994182390623105,0.6448982183380845,1.0
25,2020-09-26,507.40665690000003,1,1.0000000000000004,0.07508225610491892,0.2566113956786964,0.016597423989563778,0.16252060075289876,0.16188986481992276,0.2796200678876343,0.31994182390623105,0.6448982183380845,1.0
