,Report Date,Stock price,Y_boolean,(Dividends + Share Buyback) / FCF,Asset Turnover,CapEx / (Depr + Amor),Dividends / FCF,Dummy_Dividends,Interest Coverage,Log Revenue,R&D / Revenue,Return on Assets,Return on Research Capital,s_diff,tweet_subjectivity
0,2021-03-01,156.5429993,1,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.7267930270498932,0.6004500836377953
1,2021-03-02,155.9076385,-1,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.3387813660099081,0.5381590389069841
2,2021-03-03,148.2338867,-1,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.3137329438297546,0.4485823672155767
3,2021-03-04,142.9525757,-1,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.3655772664245444,0.4190047715540066
4,2021-03-05,144.62033080000003,1,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.4047418095619222,0.43259729741542063
5,2021-03-06,144.4449514,0,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.20669614615665752,0.2284488000510474
6,2021-03-07,144.26957190000002,0,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.6710037229868548,0.5133709941641511
7,2021-03-08,144.0941925,0,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.3300223365270582,0.4429459160217273
8,2021-03-09,149.0479126,1,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.35505595556750685,0.4018131527273221
9,2021-03-10,149.99099730000003,1,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.2768426505602637,0.27615710275123195
10,2021-03-11,151.25175480000001,1,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.43632663061931104,0.3219408053570008
11,2021-03-12,151.4602356,0,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.3341395657473157,0.2603910999237549
12,2021-03-13,152.21139530000002,1,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.6037213119563773,0.4790828313517634
13,2021-03-14,152.96255490000001,1,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.45768041240754104,0.5521111170216257
14,2021-03-15,153.7137146,1,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.4179026620931488,0.5814001107236311
15,2021-03-16,153.9023438,0,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.2212213047083993,0.3835766193411403
16,2021-03-17,155.0340424,1,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.5768254881014397,0.5830581104456359
17,2021-03-18,151.31130980000003,-1,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.2380466445531879,0.4045905716524589
18,2021-03-19,152.0062256,1,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.3459163501482637,0.35404508548191593
19,2021-03-20,152.8368073,1,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.5281025007438558,0.49932795846460604
20,2021-03-21,153.6673889,1,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.2767652669113387,0.36931696128971137
21,2021-03-22,154.4979706,1,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.5869934599530027,0.5787399451399753
22,2021-03-23,154.9049835,0,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.3568395541510311,0.5377495166747464
23,2021-03-24,154.2994385,-1,0.06124259098072168,0.0,0.5314114114236317,0.23234238821461306,0.0,0.42375376617172295,0.0,0.09235245391368263,0.6025872829441214,0.8238021632408477,0.27261199166193273,0.4013226443897384
