,Report Date,Stock price,Y_boolean,(Dividends + Share Buyback) / FCF,Asset Turnover,CapEx / (Depr + Amor),Current Ratio,Debt Ratio,Dividends / FCF,Dummy_Dividends,Gross Profit Margin,Interest Coverage,Inventory Turnover,Log Revenue,Net Profit Margin,Quick Ratio,R&D / Gross Profit,R&D / Revenue,Return on Assets,Return on Equity,Return on Research Capital,Share Buyback / FCF,tweet_polarity,tweet_subjectivity,RSI_ratio,MACD,p_diff,s_diff
0,2021-01-01,581.0200043,-1,0.0,0.4795472925522084,0.0,0.0,1.0,0.0,0.0,0.5183281854683734,0.0,0.0,0.0,1.0,0.0,0.46171139959400653,0.4737885350462223,1.0000000000000002,1.0,0.47455571350801806,0.0,0.605115683554472,0.6402190003206387,0.45792652263218014,0.5741862764691895,0.5670008508434654,0.5589381631746805
1,2021-01-02,579.1000061,-1,0.0,0.4795472925522084,0.0,0.0,1.0,0.0,0.0,0.5183281854683734,0.0,0.0,0.0,1.0,0.0,0.46171139959400653,0.4737885350462223,1.0000000000000002,1.0,0.47455571350801806,0.0,0.45797677880466536,0.5864864402817518,0.4238972528043058,0.5784545333347595,0.47699926176697427,0.36324801209612206
2,2021-01-03,577.180008,-1,0.0,0.4795472925522084,0.0,0.0,1.0,0.0,0.0,0.5183281854683734,0.0,0.0,0.0,1.0,0.0,0.46171139959400653,0.4737885350462223,1.0000000000000002,1.0,0.47455571350801806,0.0,0.5458062913355346,0.5655396833186992,0.38986798256697147,0.5827227902003294,0.6127410445766883,0.3901626569238665
3,2021-01-04,575.2600098,-1,0.0,0.4795472925522084,0.0,0.0,1.0,0.0,0.0,0.5183281854683734,0.0,0.0,0.0,1.0,0.0,0.46171139959400653,0.4737885350462223,1.0000000000000002,1.0,0.47455571350801806,0.0,0.690480667752837,0.40737140102983727,0.3558387127390971,0.5869910470658993,0.6259165503292918,0.2735666674131326
4,2021-01-05,584.1300049,1,0.0,0.4795472925522084,0.0,0.0,1.0,0.0,0.0,0.5183281854683734,0.0,0.0,0.0,1.0,0.0,0.46171139959400653,0.4737885350462223,1.0000000000000002,1.0,0.47455571350801806,0.0,0.5974901027620019,0.4237710958349785,0.5184266737266089,0.5632720793023757,0.5102807904046398,0.4224664367744746
5,2021-01-06,612.2000122,1,0.0,0.4795472925522084,0.0,0.0,1.0,0.0,0.0,0.5183281854683734,0.0,0.0,0.0,1.0,0.0,0.46171139959400653,0.4737885350462223,1.0000000000000002,1.0,0.47455571350801806,0.0,0.6060066275379392,0.3242774903599335,0.5663376304171385,0.4416469050048078,0.5498522973678412,0.31949759909929204
6,2021-01-07,629.1199951,1,0.0,0.4795472925522084,0.0,0.0,1.0,0.0,0.0,0.5183281854683734,0.0,0.0,0.0,1.0,0.0,0.46171139959400653,0.4737885350462223,1.0000000000000002,1.0,0.47455571350801806,0.0,0.6295321921489752,0.4409052282208106,0.5700865058219141,0.31158983652559596,0.556762163406334,0.5148175909177336
7,2021-01-08,621.3699951,-1,0.0,0.4795472925522084,0.0,0.0,1.0,0.0,0.0,0.5183281854683734,0.0,0.0,0.0,1.0,0.0,0.46171139959400653,0.4737885350462223,1.0000000000000002,1.0,0.47455571350801806,0.0,0.5830713701716952,0.22388474349948462,0.4864921505357353,0.27852768537727723,0.5253777894769415,0.21621882061282224
8,2021-01-09,619.5099894,0,0.0,0.4795472925522084,0.0,0.0,1.0,0.0,0.0,0.5183281854683734,0.0,0.0,0.0,1.0,0.0,0.46171139959400653,0.4737885350462223,1.0000000000000002,1.0,0.47455571350801806,0.0,0.6452968547280156,0.36343634673773995,0.5035510394780696,0.2839970548656528,0.5766697939740448,0.5402945635225864
9,2021-01-10,617.6499837,-1,0.0,0.4795472925522084,0.0,0.0,1.0,0.0,0.0,0.5183281854683734,0.0,0.0,0.0,1.0,0.0,0.46171139959400653,0.4737885350462223,1.0000000000000002,1.0,0.47455571350801806,0.0,0.5980320514176869,0.5461513247984184,0.520609928420404,0.28946642454177623,0.5258027132017706,0.5732760193935161
